Name: XWEB300
Device: WATERMETER_20131001
Time	M1_Daily	M1_Weekly	M1_Monthly	M1_Yearly	Ground Water Meter Total (L)	M1_Avr_Daily	M1_Avr_Weekly	M1_Avr_Monthly	M1_Avr_Yearly	BH1@25m (1-3)	BH1@50m (1-4)	BH1@50m (1-5) - u/s	BH1@25m (1-6) - u/s	Ipro_Probe_5	Ipro_Probe_6	
23/07/2016 00.19.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.24.59	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.30.02	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.35.24	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.40.38	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.45.39	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.50.53	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 00.55.57	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.01.16	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.06.25	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.11.32	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.16.58	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.22.15	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.27.26	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      59.0	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.32.36	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.37.52	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.43.14	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.48.27	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 01.53.50	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.04.10	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.09.11	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.14.19	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.19.45	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.9	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.24.47	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.30.03	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.35.10	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.8	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.40.29	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.45.41	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      59.2	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.50.44	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 02.55.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.01.17	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.06.31	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.1	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.11.33	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.5	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.16.35	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.4	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.21.55	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.27.02	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.32.08	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.2	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.37.08	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.42.24	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.47.43	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.52.54	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.6	     106.8	       0.0	       0.0	       0.0	
23/07/2016 03.58.12	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
23/07/2016 04.03.28	      2740	      2740	      9334	     14650	     36818	     11369	     11981	     25486	     10854	     100.3	      58.7	     106.8	       0.0	       0.0	       0.0	
